"Transcript_id","MEROPS_id","NR_besthit","NR_taxonomy","Phylum","Class","func_group"
"H1_Bulk_29_scaffold_14690_2","MER0153703_C82A","WP_037019518.1 murein L,D-transpeptidase ","Rhizobiales bacterium YIM 77505","Proteobacteria","Alphaproteobacteria","C"
"H1_Bulk_29_scaffold_14751_1","MER0407412_S01C","OLB72848.1 serine peptidase ","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","Proteobacteria","Alphaproteobacteria","S"
"H1_Bulk_29_scaffold_15439_1","MER0962725_S01C","OJW21487.1 serine protease ","Planctomycetales bacterium 71-10","Planctomycetes","Planctomycetia","S"
"H1_Bulk_29_scaffold_15531_1","MER0497366_M04","WP_122981650.1 peptidase M4 family protein ","Actinoplanes teichomyceticus","Actinobacteria","Actinobacteria","M"
"H1_Bulk_29_scaffold_15925_2","MER0178978_M04","SDY18759.1 Thermolysin metallopeptidase, catalytic domain ","Saccharopolyspora shandongensis","Actinobacteria","Actinobacteria","M"
"H1_Bulk_29_scaffold_15975_1","MER0833115_M14A","WP_051514255.1 peptidase M14, partial ","Skermanella stibiiresistens","Proteobacteria","Alphaproteobacteria","M"
"H1_Bulk_29_scaffold_16069_1","MER0337755_S41A","WP_061501685.1 S41 family peptidase ","Ramlibacter tataouinensis","Proteobacteria","Betaproteobacteria","S"
"H1_Bulk_29_scaffold_16183_2","MER0154134_S26A","WP_123393056.1 signal peptidase I ","Marmoricola aurantiacus","Actinobacteria","Actinobacteria","S"
"H1_Bulk_29_scaffold_16265_1","MER0088776_M24A","SNX95688.1 methionyl aminopeptidase ","Geodermatophilus sabuli","Actinobacteria","Actinobacteria","M"
"H1_Bulk_29_scaffold_16406_1","MER0075577_M01","WP_052138825.1 M1 family peptidase ","Pimelobacter simplex","Actinobacteria","Actinobacteria","M"
"H1_Bulk_29_scaffold_16444_1","MER0893190_M50B","WP_112240715.1 RIP metalloprotease ","Kribbella sp. NEAU-SW521","Actinobacteria","Actinobacteria","M"
"H1_Bulk_29_scaffold_16599_2","MER0204513_A08","WP_109506376.1 signal peptidase II ","Nocardioides sp. YIM ART13","Actinobacteria","Actinobacteria","A"
"H1_Bulk_29_scaffold_16687_1","MER0964484_S01B","ALI36300.1 Putative serine protease HhoA precursor ","Candidatus Nitrosocosmicus oleophilus","Thaumarchaeota","Nitrososphaeria","S"
"H1_Bulk_29_scaffold_16824_2","MER0129123_M50B","SDR98490.1 Zn-dependent protease (includes SpoIVFB) ","Marmoricola scoriae","Actinobacteria","Actinobacteria","M"
"H1_Bulk_29_scaffold_17_10","MER0088776_M24A","WP_076544746.1 MULTISPECIES: type I methionyl aminopeptidase ","Halanaerobium","Firmicutes","Clostridia","M"
"H1_Bulk_29_scaffold_1703_3","MER0348838_M48B","WP_090852469.1 zinc metalloprotease HtpX ","Nocardioides lianchengensis","Actinobacteria","Actinobacteria","M"
"H1_Bulk_29_scaffold_17566_1","MER0307081_S41A","OJY44337.1 peptidase S41 ","Rhizobiales bacterium 64-17","Proteobacteria","Alphaproteobacteria","S"
"H1_Bulk_29_scaffold_1759_1","MER0222593_M06","WP_043109103.1 M6 family metalloprotease domain-containing protein ","Paraoerskovia marina","","","M"
"H1_Bulk_29_scaffold_17642_1","MER0162003_M06","WP_091311708.1 M6 family metalloprotease domain-containing protein ","Amycolatopsis tolypomycina","Actinobacteria","Actinobacteria","M"
"H1_Bulk_29_scaffold_17900_2","MER0743188_M19","WP_010850629.1 membrane dipeptidase ","Tetrasphaera elongata","Actinobacteria","Actinobacteria","M"
"H1_Bulk_29_scaffold_18019_1","MER0337211_S41A","WP_021078768.1 S41 family peptidase ","Bradyrhizobium sp. MOS004","Proteobacteria","Alphaproteobacteria","S"
"H1_Bulk_29_scaffold_18096_1","MER0075236_M24B","SDD42397.1 Xaa-Pro aminopeptidase ","Nocardioides lianchengensis","Actinobacteria","Actinobacteria","M"
"H1_Bulk_29_scaffold_18419_1","MER0078862_M15B","WP_012921186.1 peptidase M23 ","Kribbella flavida","Actinobacteria","Actinobacteria","M"
"H1_Bulk_29_scaffold_18825_1","MER0178978_M04","WP_008967647.1 peptidase M4 family protein ","Bradyrhizobium sp. STM 3843","Proteobacteria","Alphaproteobacteria","M"
"H1_Bulk_29_scaffold_19039_1","MER0285391_M48C","WP_018612121.1 M48 family peptidase ","Segetibacter koreensis","Bacteroidetes","Chitinophagia","M"
"H1_Bulk_29_scaffold_19119_1","MER0337792_S41A","PYR49034.1 S41 family peptidase ","Acidobacteria bacterium","Acidobacteria","","S"
"H1_Bulk_29_scaffold_19328_1","MER0130126_S01C","GBD16423.1 Serine protease Do-like HtrA ","bacterium HR26","","","S"
"H1_Bulk_29_scaffold_20006_1","MER0127579_S26A","WP_114775024.1 signal peptidase I ","Hymenobacteraceae bacterium SYSU D60016","","","S"
"H1_Bulk_29_scaffold_20047_1","MER0062937_S08A","ACX43954.1 cysteine protease 1 ","Brachiaria hybrid cultivar","Streptophyta","Magnoliopsida","S"
"H1_Bulk_29_scaffold_20374_1","MER0188174_M57","WP_120567127.1 MULTISPECIES: protease ","Corallococcus","Proteobacteria","Deltaproteobacteria","M"
"H1_Bulk_29_scaffold_20435_1","MER0337274_S41A","WP_047563927.1 S41 family peptidase ","Mesorhizobium sp. F7","Proteobacteria","Alphaproteobacteria","S"
"H1_Bulk_29_scaffold_20506_1","MER0065537_M48C","PYT28052.1 peptidase M48 ","Acidobacteria bacterium","Acidobacteria","","M"
"H1_Bulk_29_scaffold_2052_1","MER0489411_S09C","WP_037457483.1 S9 family peptidase ","Skermanella stibiiresistens","Proteobacteria","Alphaproteobacteria","S"
"H1_Bulk_29_scaffold_20701_1","MER0088776_M24A","SNX95688.1 methionyl aminopeptidase ","Geodermatophilus sabuli","Actinobacteria","Actinobacteria","M"
"H1_Bulk_29_scaffold_2088_3","MER0250613_S54","ALI37739.1 Rhomboid protease GluP ","Candidatus Nitrosocosmicus oleophilus","Thaumarchaeota","Nitrososphaeria","S"
"H1_Bulk_29_scaffold_21042_1","MER0938756_M79","WP_011756771.1 MULTISPECIES: CPBP family intramembrane metalloprotease ","Nocardioides","Actinobacteria","Actinobacteria","M"
"H1_Bulk_29_scaffold_21418_1","MER0048929_M23B","PYQ43070.1 M23 family peptidase ","Acidobacteria bacterium","Acidobacteria","","M"
"H1_Bulk_29_scaffold_21424_1","MER0463326_C82B","WP_027568704.1 L,D-transpeptidase ","Bradyrhizobium sp. URHA0013","Proteobacteria","Alphaproteobacteria","C"
"H1_Bulk_29_scaffold_21482_1","MER0220679_M43B","EJD36053.1 metalloprotease ","Auricularia subglabra TFB-10046 SS5","Basidiomycota","Agaricomycetes","M"
"H1_Bulk_29_scaffold_21641_1","MER0131980_M24A","WP_113828756.1 type I methionyl aminopeptidase ","Blastococcus sp. TF02A-30","Actinobacteria","Actinobacteria","M"
"H1_Bulk_29_scaffold_21835_2","MER0338430_S41B","OFW07445.1 protease ","Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36","Acidobacteria","","S"
"H1_Bulk_29_scaffold_21997_1","MER0962725_S01C","OJW21487.1 serine protease ","Planctomycetales bacterium 71-10","Planctomycetes","Planctomycetia","S"
"H1_Bulk_29_scaffold_22_5","MER0023494_S08A","AEE49241.1 peptidase S8 and S53 subtilisin kexin sedolisin ","Haliscomenobacter hydrossis DSM 1100","Bacteroidetes","Saprospiria","S"
"H1_Bulk_29_scaffold_22208_2","MER0465229_M01","OQY93730.1 peptidase M1 ","Sphingobacteriales bacterium UTBCD1","Bacteroidetes","Sphingobacteriia","M"
"H1_Bulk_29_scaffold_2226_2","MER0081182_S01E","OJZ62744.1 peptidase ","Mycolicibacterium diernhoferi","Actinobacteria","Actinobacteria","S"
"H1_Bulk_29_scaffold_22351_1","MER0948440_S11","WP_073386242.1 D-alanyl-D-alanine carboxypeptidase ","Jatrophihabitans endophyticus","Actinobacteria","Actinobacteria","S"
"H1_Bulk_29_scaffold_22802_2","MER0993977_S09A","OLC73000.1 peptidase S9 ","Deltaproteobacteria bacterium 13_1_40CM_4_68_19","Proteobacteria","Deltaproteobacteria","S"
"H1_Bulk_29_scaffold_23229_2","MER0034443_C56","PYR90805.1 protease ","Acidobacteria bacterium","Acidobacteria","","C"
"H1_Bulk_29_scaffold_23535_1","MER0188174_M57","WP_120553344.1 protease ","Corallococcus sp. AB050A","Proteobacteria","Deltaproteobacteria","M"
"H1_Bulk_29_scaffold_23645_1","MER0235497_M20X","ACL58565.1 peptidase M20 ","Methylobacterium nodulans ORS 2060","Proteobacteria","Alphaproteobacteria","M"
"H1_Bulk_29_scaffold_24021_1","MER0062937_S08A","ABL74967.1 cysteine protease ","Acanthamoeba castellanii","Discosea","","S"
"H1_Bulk_29_scaffold_24052_1","MER0283167_S41A","WP_044426264.1 S41 family peptidase ","Skermanella aerolata","Proteobacteria","Alphaproteobacteria","S"
"H1_Bulk_29_scaffold_25242_1","MER0035430_S01C","WP_020468386.1 serine protease ","Zavarzinella formosa","Planctomycetes","Planctomycetia","S"
"H1_Bulk_29_scaffold_2529_1","MER0222684_M04","WP_084557417.1 M4 family peptidase ","Hamadaea tsunoensis","Actinobacteria","Actinobacteria","M"
"H1_Bulk_29_scaffold_25530_1","MER0296331_M48B","AFU59476.1 putative protease htpX ","Candidatus Nitrososphaera gargensis Ga9.2","Thaumarchaeota","Nitrososphaeria","M"
"H1_Bulk_29_scaffold_25793_1","MER0086266_M06","WP_033360547.1 M6 family metalloprotease domain-containing protein ","Dactylosporangium aurantiacum","Actinobacteria","Actinobacteria","M"
"H1_Bulk_29_scaffold_26142_1","MER0126565_S26A","WP_037015992.1 signal peptidase I ","Rhizobiales bacterium YIM 77505","Proteobacteria","Alphaproteobacteria","S"
"H1_Bulk_29_scaffold_26340_2","MER0296331_M48B","WP_028059199.1 zinc metalloprotease HtpX ","Solirubrobacter sp. URHD0082","Actinobacteria","Thermoleophilia","M"
"H1_Bulk_29_scaffold_26346_1","MER0461536_C82B","SDS89663.1 Lipoprotein-anchoring transpeptidase ErfK/SrfK ","Bradyrhizobium canariense","Proteobacteria","Alphaproteobacteria","C"
"H1_Bulk_29_scaffold_26444_1","MER0091734_S26A","WP_020720236.1 signal peptidase I ","Acidobacteriaceae bacterium KBS 96","Acidobacteria","Acidobacteriia","S"
"H1_Bulk_29_scaffold_26846_1","MER0178978_M04","WP_091287161.1 M4 family peptidase ","Amycolatopsis xylanica","Actinobacteria","Actinobacteria","M"
"H1_Bulk_29_scaffold_26890_1","MER0284661_S53","WP_101950655.1 peptidase S53 ","Mycobacterium sp. 3519A","Actinobacteria","Actinobacteria","S"
"H1_Bulk_29_scaffold_2894_2","MER0926397_M16A","OLB74791.1 peptidase M16 ","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","Proteobacteria","Alphaproteobacteria","M"
"H1_Bulk_29_scaffold_2952_1","MER0386429_S46","OLD45559.1 serine protease ","Chloroflexi bacterium 13_1_40CM_2_68_14","Chloroflexi","","S"
"H1_Bulk_29_scaffold_3088_1","MER0497521_M06","WP_052386584.1 peptidase M6 immune inhibitor A ","Dactylosporangium aurantiacum","","","M"
"H1_Bulk_29_scaffold_3143_1","MER0942178_S10","WP_043289063.1 peptidase S1 ","Paraburkholderia oxyphila","Proteobacteria","Betaproteobacteria","S"
"H1_Bulk_29_scaffold_3146_2","MER0027581_S41A","WP_079569868.1 S41 family peptidase ","Bradyrhizobium erythrophlei","Proteobacteria","Alphaproteobacteria","S"
"H1_Bulk_29_scaffold_3172_2","MER1015132_S14","WP_046863336.1 ATP-dependent Clp protease proteolytic subunit ","Microvirga massiliensis","Proteobacteria","Alphaproteobacteria","S"
"H1_Bulk_29_scaffold_3301_1","MER0138766_M41","REJ79940.1 ATP-dependent zinc metalloprotease FtsH ","Acidobacteria bacterium","Acidobacteria","","M"
"H1_Bulk_29_scaffold_4381_1","MER0100619_M41","WP_112663851.1 ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein ","Microvirga sp. c27j1","Proteobacteria","Alphaproteobacteria","M"
"H1_Bulk_29_scaffold_4622_1","MER0407412_S01C","OLB72848.1 serine peptidase ","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","Proteobacteria","Alphaproteobacteria","S"
"H1_Bulk_29_scaffold_4743_1","MER0300856_M41","WP_059438865.1 ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein ","Anaeromyxobacter sp. PSR-1","Proteobacteria","Deltaproteobacteria","M"
"H1_Bulk_29_scaffold_48_3","MER0088776_M24A","PYR90311.1 type I methionyl aminopeptidase ","Acidobacteria bacterium","Acidobacteria","","M"
"H1_Bulk_29_scaffold_4871_2","MER0178978_M04","WP_091287161.1 M4 family peptidase ","Amycolatopsis xylanica","Actinobacteria","Actinobacteria","M"
"H1_Bulk_29_scaffold_54080_1","MER0488851_S09A","PYR93848.1 oligopeptidase B ","Acidobacteria bacterium","Acidobacteria","","S"
"H1_Bulk_29_scaffold_5511_1","MER0307081_S41A","OJY44337.1 peptidase S41 ","Rhizobiales bacterium 64-17","Proteobacteria","Alphaproteobacteria","S"
"H1_Bulk_29_scaffold_5556_1","MER0222399_S08A","WP_033361240.1 serine protease ","Dactylosporangium aurantiacum","Actinobacteria","Actinobacteria","S"
"H1_Bulk_29_scaffold_5606_1","MER0307081_S41A","WP_068030465.1 S41 family peptidase ","Rhodoplanes sp. Z2-YC6860","Proteobacteria","Alphaproteobacteria","S"
"H1_Bulk_29_scaffold_5609_2","MER0096899_S14","WP_056923604.1 MULTISPECIES: ATP-dependent Clp protease proteolytic subunit ","Phycicoccus","Actinobacteria","Actinobacteria","S"
"H1_Bulk_29_scaffold_5751_1","MER0501105_C01A","WP_014216539.1 peptidase C1 ","Niastella koreensis","Bacteroidetes","Chitinophagia","C"
"H1_Bulk_29_scaffold_5895_1","MER0117120_S41A","WP_037020046.1 S41 family peptidase ","Rhizobiales bacterium YIM 77505","Proteobacteria","Alphaproteobacteria","S"
"H1_Bulk_29_scaffold_6265_1","MER0222684_M04","WP_033363699.1 peptidase M4 ","Dactylosporangium aurantiacum","Actinobacteria","Actinobacteria","M"
"H1_Bulk_29_scaffold_6295_1","MER0220601_M04","WP_027346267.1 zinc metalloprotease ","Hamadaea tsunoensis","Actinobacteria","Actinobacteria","M"
"H1_Bulk_29_scaffold_65294_2","MER0489411_S09C","RLC83306.1 S9 family peptidase, partial ","Chloroflexi bacterium","Chloroflexi","","S"
"H1_Bulk_29_scaffold_6609_1","MER0063329_M01","ALI37409.1 Aminopeptidase N ","Candidatus Nitrosocosmicus oleophilus","Thaumarchaeota","Nitrososphaeria","M"
"H1_Bulk_29_scaffold_6636_1","MER0324238_M43B","WP_048117299.1 zinc metalloprotease ","Methanosarcina vacuolata","Euryarchaeota","Methanomicrobia","M"
"H1_Bulk_29_scaffold_66977_1","MER0426820_A24A","PYQ96847.1 prepilin peptidase ","Acidobacteria bacterium","Acidobacteria","","A"
"H1_Bulk_29_scaffold_6911_2","MER0833115_M14A","PYS35050.1 peptidase M14 ","Acidobacteria bacterium","Acidobacteria","","M"
"H1_Bulk_29_scaffold_7002_1","MER1017926_S14","OLB79583.1 ATP-dependent Clp protease proteolytic subunit ","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","Proteobacteria","Alphaproteobacteria","S"
"H1_Bulk_29_scaffold_7021_1","MER0877058_M41","WP_069764637.1 ATP-dependent zinc metalloprotease FtsH ","Streptomyces sp. LUP47B","Actinobacteria","Actinobacteria","M"
"H1_Bulk_29_scaffold_7023_3","MER0324918_S08A","WP_013555311.1 peptidase S8 ","Deinococcus maricopensis","Deinococcus-Thermus","Deinococci","S"
"H1_Bulk_29_scaffold_7170_1","MER0072648_M41","WP_053238925.1 ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein ","Sandaracinus amylolyticus","Proteobacteria","Deltaproteobacteria","M"
"H1_Bulk_29_scaffold_7440_2","MER0274664_M20A","WP_027567208.1 peptidase T ","Bradyrhizobium sp. URHA0013","Proteobacteria","Alphaproteobacteria","M"
"H1_Bulk_29_scaffold_7723_1","MER0127791_S53","WP_067934806.1 peptidase S53 ","Alicyclobacillus kakegawensis","","","S"
"H1_Bulk_29_scaffold_7837_1","MER0118345_S12","PYO74552.1 peptidase S41 ","Gemmatimonadetes bacterium","Gemmatimonadetes","","S"
"H1_Bulk_29_scaffold_8101_1","MER0252374_S09A","RPJ84254.1 S9 family peptidase, partial ","Acidobacteria bacterium","Acidobacteria","","S"
"H1_Bulk_29_scaffold_8150_1","MER0063226_S08A","EQC43626.1 peptidase, S8/S53 family ","Bacteriovorax sp. BSW11_IV","Proteobacteria","Oligoflexia","S"
"H1_Bulk_29_scaffold_8168_1","MER0497521_M06","WP_052386584.1 peptidase M6 immune inhibitor A ","Dactylosporangium aurantiacum","","","M"
"H1_Bulk_29_scaffold_8231_1","MER0178978_M04","WP_029338951.1 M4 family peptidase ","Geodermatophilaceae bacterium URHB0048","Actinobacteria","Actinobacteria","M"
"H1_Bulk_29_scaffold_8465_1","MER0165580_M01","ALI37409.1 Aminopeptidase N ","Candidatus Nitrosocosmicus oleophilus","Thaumarchaeota","Nitrososphaeria","M"
"H1_Bulk_29_scaffold_8524_1","MER0040037_S01A","WP_108076544.1 serine protease ","Vitiosangium sp. GDMCC 1.1324","Proteobacteria","Deltaproteobacteria","S"
"H1_Bulk_29_scaffold_8813_2","MER0246861_S26A","PYR91170.1 signal peptidase I ","Acidobacteria bacterium","Acidobacteria","","S"
"H1_Bulk_29_scaffold_8915_1","MER0497632_M04","WP_033363699.1 peptidase M4 ","Dactylosporangium aurantiacum","Actinobacteria","Actinobacteria","M"
"H1_Bulk_29_scaffold_9093_1","MER0050195_M20F","OLC18716.1 dipeptidase ","Deltaproteobacteria bacterium 13_1_40CM_68_24","Proteobacteria","Deltaproteobacteria","M"
"H1_Bulk_29_scaffold_9531_1","MER0129658_S08A","WP_052387044.1 serine protease ","Dactylosporangium aurantiacum","","","S"
"H1_Bulk_29_scaffold_976_2","MER0251461_C82A","SEQ95433.1 Lipoprotein-anchoring transpeptidase ErfK/SrfK ","Friedmanniella flava","Actinobacteria","Actinobacteria","C"
"H1_Bulk_29_scaffold_9971_2","MER0341428_M03A","KRA66567.1 peptidase M3 ","Caulobacter sp. Root655","Proteobacteria","Alphaproteobacteria","M"
"H1_Bulk_30_scaffold_10290_2","MER1014240_S14","WP_074702141.1 ATP-dependent Clp protease proteolytic subunit ","Arthrobacter crystallopoietes","Actinobacteria","Actinobacteria","S"
"H1_Bulk_30_scaffold_10423_1","MER0428736_C01A","WP_097001002.1 cysteine protease ","Persephonella hydrogeniphila","Aquificae","Aquificae","C"
"H1_Bulk_30_scaffold_10424_1","MER0428736_C01A","PYX75059.1 cysteine protease ","Acidobacteria bacterium","Acidobacteria","","C"
"H1_Bulk_30_scaffold_11549_1","MER0114482_S01A","WP_104983789.1 S1 family peptidase ","Sorangium cellulosum","Proteobacteria","Deltaproteobacteria","S"
"H1_Bulk_30_scaffold_11847_1","MER0337316_S41A","WP_007590590.1 S41 family peptidase ","Bradyrhizobium sp. WSM1253","Proteobacteria","Alphaproteobacteria","S"
"H1_Bulk_30_scaffold_11976_1","MER0065989_S08X","PYQ67748.1 peptidase ","Acidobacteria bacterium","Acidobacteria","","S"
"H1_Bulk_30_scaffold_12049_1","MER0893190_M50B","WP_112240715.1 RIP metalloprotease ","Kribbella sp. NEAU-SW521","Actinobacteria","Actinobacteria","M"
"H1_Bulk_30_scaffold_1206_1","MER0165580_M01","AFU60420.1 putative membrane alanyl aminopeptidase ","Candidatus Nitrososphaera gargensis Ga9.2","Thaumarchaeota","Nitrososphaeria","M"
"H1_Bulk_30_scaffold_12415_1","MER0057016_S08A","WP_089253445.1 S8 family peptidase ","Asanoa hainanensis","Actinobacteria","Actinobacteria","S"
"H1_Bulk_30_scaffold_12723_1","MER0117120_S41A","WP_012589685.1 S41 family peptidase ","Methylocella silvestris","Proteobacteria","Alphaproteobacteria","S"
"H1_Bulk_30_scaffold_12882_2","MER0132286_S01C","WP_052180554.1 serine protease ","Solirubrobacterales bacterium URHD0059","","","S"
"H1_Bulk_30_scaffold_12899_2","MER0742347_C82A","WP_111385364.1 L,D-transpeptidase ","Rhodoplanes piscinae","Proteobacteria","Alphaproteobacteria","C"
