"ORF","MEROPS_id","NR_besthit","NR_taxonomy","Phylum","Class"
"YH_S30_scaffold_15311_5","MER0255119_C15","WP_075794799.1 pyroglutamyl-peptidase I ","Massilia putida","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_2347_10","MER0292744_M01","SDD11862.1 Membrane alanyl aminopeptidase Metallo peptidase. MEROPS family M01 ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_11711_1","MER0074331_T01X","WP_091660377.1 peptidase ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria"
"ZL_S28_scaffold_1535_2","MER0088776_M24A","OFW03975.1 type I methionyl aminopeptidase ","Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36","Acidobacteria",""
"YH_S30_scaffold_1803_10","MER0100418_M24B","SDE60050.1 aminopeptidase P Metallo peptidase. MEROPS family M24B ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_2679_6","MER0965375_S01B","WP_091670358.1 serine protease ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria"
"ZL_S28_scaffold_64508_1","MER0970261_S08A","OJW04060.1 peptidase S8 ","Sphingobacteriales bacterium 44-61","Bacteroidetes","Sphingobacteriia"
"SM_S39_scaffold_75955_2","MER0301592_S49B","OLB70494.1 S49 family peptidase ","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_7110_4","MER1015750_S14","WP_056435642.1 peptidase S14 ","Massilia sp. Root335","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_3159_6","MER0320377_S66","WP_075791349.1 muramoyltetrapeptide carboxypeptidase ","Massilia putida","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_22424_2","MER0888450_M48C","WP_083685135.1 M48 family peptidase ","Massilia putida","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_4889_10","MER0904278_M61","WP_056443137.1 M61 family peptidase ","Massilia sp. Root335","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_11257_4","MER0189065_M13","WP_075795162.1 M13 family peptidase ","Massilia putida","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_1465_12","MER0247774_M61","WP_091664553.1 M61 family peptidase ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria"
"YM_S32_scaffold_1290_13","MER0178978_M04","WP_116478351.1 peptidase M4 family protein ","candidate division NC10 bacterium","",""
"YH_S30_scaffold_1712_5","MER0183651_S08A","WP_105377867.1 peptidase S8 ","Massilia phosphatilytica","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_15103_1","MER0301592_S49B","WP_056136192.1 S49 family peptidase ","Massilia sp. Root133","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_4358_1","MER1065229_S46","WP_105375540.1 S46 family peptidase ","Massilia phosphatilytica","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_162535_1","MER0186091_M02","WP_091665730.1 peptidase M2 family protein ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria"
"SL_S38_scaffold_21395_1","MER0174395_S41A","PYO85339.1 peptidase S41 ","Gemmatimonadetes bacterium","Gemmatimonadetes",""
"YH_S30_scaffold_11257_1","MER0991950_S09A","WP_075795163.1 S9 family peptidase ","Massilia putida","Proteobacteria","Betaproteobacteria"
"YM_S32_scaffold_152_27","MER0093972_S01C","OGB22886.1 serine peptidase ","Burkholderiales bacterium RIFCSPLOWO2_02_FULL_57_36","Proteobacteria","Betaproteobacteria"
"VL_S33_scaffold_44376_1","MER0348838_M48B","WP_067438258.1 zinc metalloprotease HtpX ","Nocardioides jensenii","Actinobacteria","Actinobacteria"
"YH_S30_scaffold_8434_7","MER0991950_S09A","WP_091659405.1 S9 family peptidase ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria"
"YM_S32_scaffold_1265_9","MER1048146_S26A","WP_019140883.1 signal peptidase I ","Noviherbaspirillum massiliense","Proteobacteria","Betaproteobacteria"
"YM_S32_scaffold_9250_1","MER0817533_M03A","WP_088707246.1 M3 family peptidase ","Noviherbaspirillum denitrificans","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_3159_6","MER0320377_S66","WP_075791349.1 muramoyltetrapeptide carboxypeptidase ","Massilia putida","Proteobacteria","Betaproteobacteria"
"YM_S32_scaffold_756_8","MER0025461_S09A","WP_018135060.1 S9 family peptidase ","Acaricomes phytoseiuli","Actinobacteria","Actinobacteria"
"YH_S30_scaffold_22424_2","MER0888450_M48C","WP_083685135.1 M48 family peptidase ","Massilia putida","Proteobacteria","Betaproteobacteria"
"ZL_S28_scaffold_357_12","MER0743427_C82A","WP_079599612.1 L,D-transpeptidase ","Bradyrhizobium erythrophlei","Proteobacteria","Alphaproteobacteria"
"YM_S32_scaffold_1290_7","MER0428736_C01A","OGP86991.1 cysteine protease ","Deltaproteobacteria bacterium RBG_16_48_10","Proteobacteria","Deltaproteobacteria"
"YH_S30_scaffold_4936_11","MER0892829_M50B","WP_075792748.1 site-2 protease family protein ","Massilia putida","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_2619_2","MER0337755_S41A","WP_056442451.1 S41 family peptidase ","Massilia sp. Root335","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_10473_3","MER0023958_M48A","WP_056127226.1 M48 family peptidase ","Massilia sp. Root133","Proteobacteria","Betaproteobacteria"
"YM_S32_scaffold_7273_4","MER0320377_S66","OGB23491.1 muramoyltetrapeptide carboxypeptidase ","Burkholderiales bacterium RIFCSPLOWO2_02_FULL_57_36","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_162535_1","MER0186091_M02","WP_091665730.1 peptidase M2 family protein ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_39259_2","MER0330044_U62","RTM13049.1 metalloprotease TldD, partial ","Bradyrhizobiaceae bacterium","Proteobacteria","Alphaproteobacteria"
"SM_S39_scaffold_20530_2","MER0126565_S26A","WP_027515268.1 MULTISPECIES: signal peptidase I ","Bradyrhizobium","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_231_8","MER0300815_M41","SEO03262.1 membrane protease FtsH catalytic subunit ","Duganella sp. CF517","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_426_11","MER0337755_S41A","WP_091665242.1 S41 family peptidase ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_10615_3","MER0982217_S11","WP_036238684.1 D-alanyl-D-alanine carboxypeptidase ","Massilia sp. JS1662","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_7496_3","MER0311852_M13","WP_075794038.1 M13 family peptidase ","Massilia putida","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_85_90","MER1018846_S14","WP_090313920.1 peptidase S14 ","Duganella sp. CF517","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_12960_3","MER0301637_S01E","AZS88157.1 trypsin-like serine protease ","Streptomyces griseoviridis","Actinobacteria","Actinobacteria"
"YM_S32_scaffold_1170_5","MER0145364_S26A","WP_040042315.1 signal peptidase I ","Noviherbaspirillum autotrophicum","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_6092_12","MER0983905_S11","WP_105375880.1 peptidase S11 ","Massilia phosphatilytica","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_9870_3","MER0048837_S08A","WP_056447927.1 peptidase S8 ","Massilia sp. Root335","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_19764_3","MER0387260_M23B","WP_075794597.1 peptidase M23 ","Massilia putida","Proteobacteria","Betaproteobacteria"
"UL_S35_scaffold_6386_3","MER0408245_S01C","OLB70704.1 serine protease ","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","Proteobacteria","Alphaproteobacteria"
"UM_S36_scaffold_62055_3","MER0088776_M24A","SHN80325.1 methionyl aminopeptidase ","Geodermatophilus obscurus","Actinobacteria","Actinobacteria"
"ZL_S28_scaffold_3809_5","MER0337991_S41A","OGA72060.1 peptidase S41 ","Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_65_14","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_3686_5","MER0336935_S41A","WP_093556177.1 tail-specific protease ","Massilia namucuonensis","Proteobacteria","Betaproteobacteria"
"YM_S32_scaffold_2391_2","MER0212265_S41A","WP_093390167.1 tail-specific protease ","Rugamonas rubra","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_3686_5","MER0303559_S41A","WP_105377781.1 tail-specific protease ","Massilia phosphatilytica","Proteobacteria","Betaproteobacteria"
"UL_S35_scaffold_10543_2","MER0145364_S26A","OLB76881.1 signal peptidase I ","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_231_8","MER0300815_M41","WP_093556763.1 ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein ","Massilia namucuonensis","Proteobacteria","Betaproteobacteria"
"UL_S35_scaffold_28838_2","MER0741683_C82A","WP_079605595.1 L,D-transpeptidase ","Bradyrhizobium erythrophlei","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_3686_5","MER0187391_S41A","WP_093556177.1 tail-specific protease ","Massilia namucuonensis","Proteobacteria","Betaproteobacteria"
"SL_S38_scaffold_7618_5","MER0461724_C82B","WP_111420192.1 L,D-transpeptidase ","Rhodoplanes roseus","Proteobacteria","Alphaproteobacteria"
"SH_S37_scaffold_10619_2","MER0337755_S41A","WP_056662841.1 S41 family peptidase ","Rhizobacter sp. Root1221","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_3405_4","MER0817533_M03A","WP_075793062.1 M3 family peptidase ","Massilia putida","Proteobacteria","Betaproteobacteria"
"UL_S35_scaffold_42712_1","MER0302096_M49","OFW11840.1 peptidase M49 ","Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36","Acidobacteria",""
"YM_S32_scaffold_5489_4","MER0051854_S01C","GAO34893.1 peptidase S1 ","Sulfuricella sp. T08","Proteobacteria","Betaproteobacteria"
"YM_S32_scaffold_1290_13","MER0178978_M04","WP_116478351.1 peptidase M4 family protein ","candidate division NC10 bacterium","",""
"VL_S33_scaffold_44376_1","MER0348838_M48B","WP_090852469.1 zinc metalloprotease HtpX ","Nocardioides lianchengensis","Actinobacteria","Actinobacteria"
"YH_S30_scaffold_2619_2","MER0337755_S41A","WP_056442451.1 S41 family peptidase ","Massilia sp. Root335","Proteobacteria","Betaproteobacteria"
"UL_S35_scaffold_28838_2","MER0462338_C82B","SHN70533.1 Lipoprotein-anchoring transpeptidase ErfK/SrfK ","Bradyrhizobium erythrophlei","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_2448_6","MER0072554_M17","WP_036237453.1 leucyl aminopeptidase ","Massilia sp. JS1662","Proteobacteria","Betaproteobacteria"
"UL_S35_scaffold_28838_2","MER0461723_C82B","SDJ07794.1 Lipoprotein-anchoring transpeptidase ErfK/SrfK ","Bradyrhizobium ottawaense","Proteobacteria","Alphaproteobacteria"
"SL_S38_scaffold_13352_3","MER0312659_S46","OJV97907.1 serine protease ","Sphingobacteriales bacterium 44-61","Bacteroidetes","Sphingobacteriia"
"SL_S38_scaffold_68597_1","MER0284547_S41A","WP_014222588.1 peptidase ","Niastella koreensis","Bacteroidetes","Chitinophagia"
"SL_S38_scaffold_77690_1","MER0336965_S41A","WP_014217906.1 carboxyl-terminal processing protease ","Niastella koreensis","Bacteroidetes","Chitinophagia"
"SL_S38_scaffold_59439_1","MER0963714_S01B","WP_014220597.1 serine protease ","Niastella koreensis","",""
"SH_S37_scaffold_21818_2","MER0386896_M23B","WP_053232749.1 M23 family metallopeptidase ","Sandaracinus amylolyticus","",""
"SL_S38_scaffold_20908_1","MER0285391_M48C","WP_081202720.1 M48 family peptidase ","Niastella yeongjuensis","Bacteroidetes","Chitinophagia"
"SM_S39_scaffold_26209_1","MER0307081_S41A","WP_115693009.1 S41 family peptidase ","Pseudolabrys taiwanensis","Proteobacteria","Alphaproteobacteria"
"SM_S39_scaffold_20530_3","MER0330443_U62","WP_026233924.1 MULTISPECIES: metalloprotease TldD ","Bradyrhizobium","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_3686_5","MER0303559_S41A","WP_105377781.1 tail-specific protease ","Massilia phosphatilytica","Proteobacteria","Betaproteobacteria"
"SM_S39_scaffold_84087_1","MER0408008_S01C","OSJ10166.1 serine peptidase ","Bradyrhizobium canariense","Proteobacteria","Alphaproteobacteria"
"SL_S38_scaffold_71074_2","MER0464051_C82B","WP_092516147.1 L,D-transpeptidase ","Afipia sp. GAS231","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_19764_3","MER0387260_M23B","WP_105380515.1 peptidase M23 ","Massilia phosphatilytica","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_12960_3","MER0301637_S01E","WP_069761206.1 S1 family peptidase ","Streptomyces sp. LUP47B","Actinobacteria","Actinobacteria"
"SH_S37_scaffold_76099_1","MER0188373_A08","OQX68272.1 signal peptidase II ","Sorangiineae bacterium NIC37A_2","Proteobacteria","Deltaproteobacteria"
"YH_S30_scaffold_15103_1","MER0301592_S49B","WP_056136192.1 S49 family peptidase ","Massilia sp. Root133","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_37805_1","MER0187391_S41A","WP_092269980.1 tail-specific protease ","Duganella sp. CF402","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_3686_5","MER0303559_S41A","WP_047827065.1 MULTISPECIES: tail-specific protease ","Massilia","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_6187_4","MER0717343_C39","WP_091662464.1 peptidase C39 ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria"
"SL_S38_scaffold_4019_4","MER0019297_S49A","OLB69731.1 S49 family peptidase ","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","Proteobacteria","Alphaproteobacteria"
"SL_S38_scaffold_71074_2","MER0464001_C82B","WP_063799851.1 L,D-transpeptidase ","Bradyrhizobium jicamae","Proteobacteria","Alphaproteobacteria"
"UL_S35_scaffold_6386_3","MER0408245_S01C","OLB70704.1 serine protease ","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","Proteobacteria","Alphaproteobacteria"
"UL_S35_scaffold_6424_3","MER0283890_S41A","PYY02878.1 peptidase S41 ","Acidobacteria bacterium","Acidobacteria",""
"VL_S33_scaffold_1176_5","MER0461750_C82B","WP_079565892.1 L,D-transpeptidase ","Bradyrhizobium erythrophlei","Proteobacteria","Alphaproteobacteria"
"UM_S36_scaffold_62055_3","MER0088776_M24A","SNR98480.1 methionine aminopeptidase, type I ","Geodermatophilus pulveris","Actinobacteria","Actinobacteria"
"UL_S35_scaffold_28838_2","MER0461723_C82B","WP_028349301.1 L,D-transpeptidase ","Bradyrhizobium elkanii","Proteobacteria","Alphaproteobacteria"
"UL_S35_scaffold_28838_2","MER0741683_C82A","WP_079605595.1 L,D-transpeptidase ","Bradyrhizobium erythrophlei","Proteobacteria","Alphaproteobacteria"
"UL_S35_scaffold_28838_2","MER0741683_C82A","WP_100385584.1 L,D-transpeptidase ","Afipia broomeae","Proteobacteria","Alphaproteobacteria"
"VL_S33_scaffold_44376_1","MER0348838_M48B","WP_090852469.1 zinc metalloprotease HtpX ","Nocardioides lianchengensis","Actinobacteria","Actinobacteria"
"SL_S38_scaffold_61588_1","MER0187506_S46","OLD45559.1 serine protease ","Chloroflexi bacterium 13_1_40CM_2_68_14","Chloroflexi",""
"UL_S35_scaffold_28838_2","MER0461723_C82B","WP_057854547.1 L,D-transpeptidase ","Bradyrhizobium valentinum","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_65181_1","MER0327727_S01C","OOO00877.1 putative serine protease HhoB ","Chromatiales bacterium USCg_Taylor","Proteobacteria","Gammaproteobacteria"
"SH_S37_scaffold_20078_1","MER0179863_M24B","RMH41693.1 Xaa-Pro aminopeptidase ","Deltaproteobacteria bacterium","Proteobacteria","Deltaproteobacteria"
"YH_S30_scaffold_6203_6","MER0176697_U62","WP_073218767.1 metalloprotease TldD ","Massilia sp. CF038","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_231_8","MER0300815_M41","WP_078032122.1 ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein ","Massilia sp. KIM","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_10473_3","MER0023958_M48A","WP_091873832.1 M48 family peptidase ","Massilia yuzhufengensis","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_1544_3","MER0362735_M41","SDF72856.1 membrane protease FtsH catalytic subunit ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria"
"UL_S35_scaffold_21894_2","MER0338430_S41B","OFW07445.1 protease ","Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36","Acidobacteria",""
"SL_S38_scaffold_43069_2","MER0337173_S41A","WP_037020046.1 S41 family peptidase ","Rhizobiales bacterium YIM 77505","Proteobacteria","Alphaproteobacteria"
"SM_S39_scaffold_26209_1","MER0307081_S41A","WP_115693009.1 S41 family peptidase ","Pseudolabrys taiwanensis","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_3686_5","MER0303559_S41A","WP_078031965.1 tail-specific protease ","Massilia sp. KIM","Proteobacteria","Betaproteobacteria"
"SH_S37_scaffold_38030_1","MER0504029_S08A","RMH39226.1 peptidase S8 ","Deltaproteobacteria bacterium","Proteobacteria","Deltaproteobacteria"
"SL_S38_scaffold_3025_1","MER0407412_S01C","OLB72848.1 serine peptidase ","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_3405_4","MER0817533_M03A","WP_099875457.1 M3 family peptidase ","Massilia violaceinigra","Proteobacteria","Betaproteobacteria"
"YM_S32_scaffold_2880_6","MER0337387_S41A","KJB92845.1 peptidase S41 ","Skermanella aerolata KACC 11604","Proteobacteria","Alphaproteobacteria"
"SH_S37_scaffold_109807_3","MER0506379_M19","PZN23534.1 peptidase M19 ","Proteobacteria bacterium","Proteobacteria",""
"SH_S37_scaffold_58225_3","MER0250670_S01C","OOO00877.1 putative serine protease HhoB ","Chromatiales bacterium USCg_Taylor","Proteobacteria","Gammaproteobacteria"
"SH_S37_scaffold_3543_10","MER0337274_S41A","WP_047563927.1 S41 family peptidase ","Mesorhizobium sp. F7","Proteobacteria","Alphaproteobacteria"
"YM_S32_scaffold_152_27","MER0093972_S01C","OGB22886.1 serine peptidase ","Burkholderiales bacterium RIFCSPLOWO2_02_FULL_57_36","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_26463_3","MER0300498_M48B","WP_069764689.1 zinc metalloprotease HtpX ","Streptomyces sp. LUP47B","Actinobacteria","Actinobacteria"
"ZL_S28_scaffold_5127_2","MER0246228_M23B","OGA74917.1 peptidase M23 ","Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_65_14","Proteobacteria","Betaproteobacteria"
