transcript_id,MEROPS_id,pid_vs_MEROPS,eval_vs_MEROPS,bitscore_vs_MEROPS,NR_accession,pid_vs_NR,eval_vs_NR,bitscore_vs_NR,NR_besthit,NR_taxonomy
H1_Bulk_29_scaffold_0_18,MER0115692_C40,43.4,3.00E-20,98.6,ATW62469.1,32.8,1.30E-58,237.3,ATW62469.1 peptidase ,Streptomyces phage WRightOn
H1_Bulk_29_scaffold_10585_1,MER0337211_S41A,79.6,6.30E-200,695.3,OJY44337.1,85.4,1.50E-215,758.4,OJY44337.1 peptidase S41 ,Rhizobiales bacterium 64-17
H1_Bulk_29_scaffold_10646_1,MER0178978_M04,45,5.60E-64,243.4,KAK49096.1,62.7,9.50E-123,449.9,KAK49096.1 peptidase M4 ,Caballeronia jiangsuensis
H1_Bulk_29_scaffold_10769_1,MER0248475_M10B,35.5,2.30E-29,128.3,WP_027579112.1,55.8,1.00E-99,373.2,WP_027579112.1 peptidase M12 ,Bradyrhizobium sp. Ai1a-2
H1_Bulk_29_scaffold_10942_2,MER0306369_M56,27.1,4.60E-10,63.9,WP_086102160.1,58,8.40E-79,303.5,WP_086102160.1 M56 family metallopeptidase ,Chitinophagaceae bacterium IBVUCB2
H1_Bulk_29_scaffold_11089_1,MER0159550_S09D,55.5,1.70E-102,371.3,RPJ69626.1,77.1,2.80E-164,587.8,RPJ69626.1 S9 family peptidase ,Acidobacteria bacterium
H1_Bulk_29_scaffold_11110_2,MER0088776_M24A,60.4,2.10E-84,310.8,SNR49710.1,97.9,2.30E-158,567.8,SNR49710.1 methionyl aminopeptidase ,Blastococcus sp. DSM 44272
H1_Bulk_29_scaffold_11221_1,MER0946048_S10,59.2,4.30E-134,476.5,PCE24765.1,68.7,4.40E-161,577.4,PCE24765.1 peptidase S1 ,Pseudomonas mesoacidophila
H1_Bulk_29_scaffold_11546_1,MER0114401_S08B,51.1,7.60E-17,87,KXK56527.1,40.3,1.80E-80,309.7,KXK56527.1 carboxypeptidase ,Chlorobi bacterium OLB7
H1_Bulk_29_scaffold_11653_1,MER0178978_M04,41.8,3.00E-70,264.2,WP_123489245.1,70.7,9.80E-141,509.6,WP_123489245.1 peptidase M4 family protein ,Granulicella sp. GAS466
H1_Bulk_29_scaffold_11726_1,MER0038789_S01C,56.7,2.30E-130,464.2,PWT72888.1,67.9,2.10E-166,595.1,PWT72888.1 serine protease ,Bacteroidetes bacterium
H1_Bulk_29_scaffold_11732_1,MER0428736_C01A,32.7,1.60E-27,122.1,WP_012507761.1,62.6,5.30E-106,394,WP_012507761.1 cysteine protease ,Pelodictyon phaeoclathratiforme
H1_Bulk_29_scaffold_11825_1,MER0117120_S41A,75.1,2.90E-178,623.2,WP_037020046.1,77.7,5.20E-178,633.6,WP_037020046.1 S41 family peptidase ,Rhizobiales bacterium YIM 77505
H1_Bulk_29_scaffold_1201_2,MER0491511_S14,22,4.40E-07,53.5,WP_077012984.1,95.7,2.50E-109,404.4,WP_077012984.1 ATP-dependent Clp protease proteolytic subunit ,Kribbella sp. ALI-6-A
H1_Bulk_29_scaffold_12107_1,MER0965778_S01B,50.4,2.80E-88,324.3,ALI37324.1,73.3,5.20E-141,510.8,ALI37324.1 Putative serine protease HtrA ,Candidatus Nitrosocosmicus oleophilus
H1_Bulk_29_scaffold_12241_1,MER0130551_S09X,67.8,7.50E-117,418.7,PYR37781.1,94.9,4.10E-166,593.6,PYR37781.1 S9 family peptidase ,Acidobacteria bacterium
H1_Bulk_29_scaffold_12467_2,MER0040798_M42,24.1,8.00E-11,66.6,WP_084721265.1,96.7,4.90E-184,653.3,WP_084721265.1 osmoprotectant NAGGN system M42 family peptidase ,Skermanella aerolata
H1_Bulk_29_scaffold_13269_1,MER0220261_S53,43.8,2.00E-91,334.7,PYJ74684.1,63.1,3.30E-164,587.8,PYJ74684.1 serine protease ,Verrucomicrobia bacterium
H1_Bulk_29_scaffold_13629_1,MER0089028_C14B,54.7,4.50E-75,280.4,RIK99652.1,51.2,1.50E-89,339.7,RIK99652.1 peptidase C14 ,Proteobacteria bacterium
H1_Bulk_29_scaffold_1375_1,MER0220610_S15,31.7,6.30E-16,84.7,WP_089335398.1,81,0,1076.6,WP_089335398.1 peptidase domain-containing ABC transporter ,Blastococcus sp. DSM 44272
H1_Bulk_29_scaffold_1380_1,MER0165580_M01,29.6,8.80E-73,273.9,AFU60420.1,45.8,4.50E-192,681.4,AFU60420.1 putative membrane alanyl aminopeptidase ,Candidatus Nitrososphaera gargensis Ga9.2
H1_Bulk_29_scaffold_13987_1,MER0289090_M13,48.1,9.80E-57,218.8,WP_106351056.1,63.8,9.90E-92,346.3,WP_106351056.1 peptidase M13 ,Antricoccus suffuscus
H1_Bulk_29_scaffold_14051_2,MER0038789_S01C,61,5.70E-102,369.4,OJW60620.1,72.9,5.90E-126,460.3,OJW60620.1 serine protease ,Sphingobacteriales bacterium 50-39
H1_Bulk_29_scaffold_14078_1,MER0337274_S41A,90,3.00E-164,576.2,WP_047563927.1,92.8,1.50E-161,578.6,WP_047563927.1 S41 family peptidase ,Mesorhizobium sp. F7
H1_Bulk_29_scaffold_14273_1,MER0963901_S01B,75.1,3.00E-169,593.2,OLB70704.1,81.2,6.90E-180,639.8,OLB70704.1 serine protease ,Alphaproteobacteria bacterium 13_2_20CM_2_64_7
H1_Bulk_29_scaffold_14304_2,MER0080846_M14X,50.5,1.80E-53,207.6,PYR95154.1,82.4,3.00E-91,344.4,PYR95154.1 peptidase ,Acidobacteria bacterium
H1_Bulk_29_scaffold_14352_1,MER0065537_M48C,55.4,9.00E-115,412.1,PYQ38070.1,96.8,1.30E-201,711.8,PYQ38070.1 peptidase M48 ,Acidobacteria bacterium
H1_Bulk_29_scaffold_14455_1,MER0133090_S53,58.9,9.30E-110,395.6,WP_028969368.1,65.8,6.30E-141,510.4,WP_028969368.1 peptidase S8 ,Sphingomonas sp. URHD0057
H1_Bulk_29_scaffold_14690_2,MER0153703_C82A,71.5,4.60E-119,426,WP_037019518.1,75.6,8.70E-129,469.5,"WP_037019518.1 murein L,D-transpeptidase ",Rhizobiales bacterium YIM 77505
H1_Bulk_29_scaffold_14751_1,MER0407412_S01C,57.1,1.50E-110,398.3,OLB72848.1,74,4.20E-153,550.8,OLB72848.1 serine peptidase ,Alphaproteobacteria bacterium 13_2_20CM_2_64_7
H1_Bulk_29_scaffold_15439_1,MER0962725_S01C,58.9,2.90E-124,443.7,OJW21487.1,72,1.80E-156,562,OJW21487.1 serine protease ,Planctomycetales bacterium 71-10
H1_Bulk_29_scaffold_15531_1,MER0497366_M04,50.4,2.00E-61,235,WP_122981650.1,49.3,6.00E-61,244.6,WP_122981650.1 peptidase M4 family protein ,Actinoplanes teichomyceticus
H1_Bulk_29_scaffold_15925_2,MER0178978_M04,45.2,3.90E-62,236.9,SDY18759.1,66.3,1.30E-103,386,"SDY18759.1 Thermolysin metallopeptidase, catalytic domain ",Saccharopolyspora shandongensis
H1_Bulk_29_scaffold_15975_1,MER0833115_M14A,38.4,5.90E-58,223.4,WP_051514255.1,88.5,4.50E-197,696.8,"WP_051514255.1 peptidase M14, partial ",Skermanella stibiiresistens
H1_Bulk_29_scaffold_16069_1,MER0337755_S41A,78.1,7.80E-178,621.7,WP_061501685.1,90.6,1.50E-200,708.4,WP_061501685.1 S41 family peptidase ,Ramlibacter tataouinensis
H1_Bulk_29_scaffold_16183_2,MER0154134_S26A,42.7,7.10E-25,112.5,WP_123393056.1,52.7,4.20E-36,161,WP_123393056.1 signal peptidase I ,Marmoricola aurantiacus
H1_Bulk_29_scaffold_16265_1,MER0088776_M24A,58.8,1.10E-83,308.5,SNX95688.1,91.8,1.80E-148,535,SNX95688.1 methionyl aminopeptidase ,Geodermatophilus sabuli
H1_Bulk_29_scaffold_16406_1,MER0075577_M01,47.5,2.20E-100,364.4,WP_052138825.1,53.5,2.60E-115,425.2,WP_052138825.1 M1 family peptidase ,Pimelobacter simplex
H1_Bulk_29_scaffold_16444_1,MER0893190_M50B,35.2,4.50E-42,170.6,WP_112240715.1,85.5,6.60E-169,603.2,WP_112240715.1 RIP metalloprotease ,Kribbella sp. NEAU-SW521
H1_Bulk_29_scaffold_16599_2,MER0204513_A08,45,5.10E-23,105.9,WP_109506376.1,70,1.00E-42,182.6,WP_109506376.1 signal peptidase II ,Nocardioides sp. YIM ART13
H1_Bulk_29_scaffold_16687_1,MER0964484_S01B,46.9,2.50E-65,247.7,ALI36300.1,76.1,1.30E-125,459.1,ALI36300.1 Putative serine protease HhoA precursor ,Candidatus Nitrosocosmicus oleophilus
H1_Bulk_29_scaffold_16824_2,MER0129123_M50B,43.7,7.90E-39,159.1,SDR98490.1,69.8,3.10E-70,274.6,SDR98490.1 Zn-dependent protease (includes SpoIVFB) ,Marmoricola scoriae
H1_Bulk_29_scaffold_17_10,MER0088776_M24A,45.5,2.60E-60,230.7,WP_076544746.1,61,2.80E-81,311.6,WP_076544746.1 MULTISPECIES: type I methionyl aminopeptidase ,Halanaerobium
H1_Bulk_29_scaffold_1703_3,MER0348838_M48B,35.4,5.00E-34,143.7,WP_090852469.1,74.2,2.40E-111,411.8,WP_090852469.1 zinc metalloprotease HtpX ,Nocardioides lianchengensis
H1_Bulk_29_scaffold_17566_1,MER0307081_S41A,79.7,4.30E-173,605.9,OJY44337.1,85.3,9.10E-182,646,OJY44337.1 peptidase S41 ,Rhizobiales bacterium 64-17
H1_Bulk_29_scaffold_1759_1,MER0222593_M06,58,2.30E-269,926.8,WP_043109103.1,62.6,1.40E-282,981.9,WP_043109103.1 M6 family metalloprotease domain-containing protein ,Paraoerskovia marina
H1_Bulk_29_scaffold_17642_1,MER0162003_M06,37.9,5.40E-59,226.9,WP_091311708.1,68,8.60E-140,506.5,WP_091311708.1 M6 family metalloprotease domain-containing protein ,Amycolatopsis tolypomycina
H1_Bulk_29_scaffold_17900_2,MER0743188_M19,56.8,1.30E-75,281.6,WP_010850629.1,65,1.60E-89,339,WP_010850629.1 membrane dipeptidase ,Tetrasphaera elongata
H1_Bulk_29_scaffold_18019_1,MER0337211_S41A,89.9,5.70E-183,638.6,WP_021078768.1,95.9,3.90E-190,673.7,WP_021078768.1 S41 family peptidase ,Bradyrhizobium sp. MOS004
H1_Bulk_29_scaffold_18096_1,MER0075236_M24B,45,1.90E-88,324.7,SDD42397.1,76.1,3.90E-169,604,SDD42397.1 Xaa-Pro aminopeptidase ,Nocardioides lianchengensis
H1_Bulk_29_scaffold_18419_1,MER0078862_M15B,68.2,1.80E-115,414.5,WP_012921186.1,68.2,4.40E-112,414.5,WP_012921186.1 peptidase M23 ,Kribbella flavida
H1_Bulk_29_scaffold_18825_1,MER0178978_M04,49.4,2.30E-63,241.1,WP_008967647.1,78.1,1.30E-138,502.3,WP_008967647.1 peptidase M4 family protein ,Bradyrhizobium sp. STM 3843
H1_Bulk_29_scaffold_19039_1,MER0285391_M48C,66.5,3.10E-98,356.7,WP_018612121.1,85.6,1.70E-123,451.8,WP_018612121.1 M48 family peptidase ,Segetibacter koreensis
H1_Bulk_29_scaffold_19119_1,MER0337792_S41A,40.1,1.60E-63,241.9,PYR49034.1,82,1.80E-174,621.7,PYR49034.1 S41 family peptidase ,Acidobacteria bacterium
H1_Bulk_29_scaffold_19328_1,MER0130126_S01C,38.2,2.20E-43,174.9,GBD16423.1,41.3,8.60E-43,184.1,GBD16423.1 Serine protease Do-like HtrA ,bacterium HR26
H1_Bulk_29_scaffold_20006_1,MER0127579_S26A,42.2,1.00E-22,105.5,WP_114775024.1,69,6.00E-58,233.8,WP_114775024.1 signal peptidase I ,Hymenobacteraceae bacterium SYSU D60016
H1_Bulk_29_scaffold_20047_1,MER0062937_S08A,35.6,3.00E-34,144.4,ACX43954.1,54.2,3.80E-80,308.1,ACX43954.1 cysteine protease 1 ,Brachiaria hybrid cultivar
H1_Bulk_29_scaffold_20374_1,MER0188174_M57,54.9,2.60E-65,247.3,WP_120567127.1,58.9,1.10E-69,273.1,WP_120567127.1 MULTISPECIES: protease ,Corallococcus
H1_Bulk_29_scaffold_20435_1,MER0337274_S41A,89.7,1.30E-190,664.1,WP_047563927.1,93.5,1.60E-191,678.3,WP_047563927.1 S41 family peptidase ,Mesorhizobium sp. F7
H1_Bulk_29_scaffold_20506_1,MER0065537_M48C,59.4,1.80E-94,344.4,PYT28052.1,78.7,5.80E-128,466.8,PYT28052.1 peptidase M48 ,Acidobacteria bacterium
H1_Bulk_29_scaffold_2052_1,MER0489411_S09C,56.7,6.00E-53,205.7,WP_037457483.1,86.4,5.80E-83,316.6,WP_037457483.1 S9 family peptidase ,Skermanella stibiiresistens
H1_Bulk_29_scaffold_20701_1,MER0088776_M24A,59.6,4.00E-83,306.6,SNX95688.1,91.5,1.80E-145,525,SNX95688.1 methionyl aminopeptidase ,Geodermatophilus sabuli
H1_Bulk_29_scaffold_2088_3,MER0250613_S54,34,4.70E-27,120.6,ALI37739.1,58.4,2.60E-108,401.7,ALI37739.1 Rhomboid protease GluP ,Candidatus Nitrosocosmicus oleophilus
H1_Bulk_29_scaffold_21042_1,MER0938756_M79,40,6.80E-07,52,WP_011756771.1,62.5,1.30E-21,112.1,WP_011756771.1 MULTISPECIES: CPBP family intramembrane metalloprotease ,Nocardioides
H1_Bulk_29_scaffold_21418_1,MER0048929_M23B,50.4,3.20E-32,137.5,PYQ43070.1,92,6.00E-146,526.6,PYQ43070.1 M23 family peptidase ,Acidobacteria bacterium
H1_Bulk_29_scaffold_21424_1,MER0463326_C82B,96.1,1.40E-126,450.7,WP_027568704.1,100,5.90E-128,466.5,"WP_027568704.1 L,D-transpeptidase ",Bradyrhizobium sp. URHA0013
H1_Bulk_29_scaffold_21482_1,MER0220679_M43B,42.3,4.80E-48,190.3,EJD36053.1,47.6,3.00E-56,228.8,EJD36053.1 metalloprotease ,Auricularia subglabra TFB-10046 SS5
H1_Bulk_29_scaffold_21641_1,MER0131980_M24A,63.2,8.10E-77,285.4,WP_113828756.1,91.7,3.80E-125,457.2,WP_113828756.1 type I methionyl aminopeptidase ,Blastococcus sp. TF02A-30
H1_Bulk_29_scaffold_21835_2,MER0338430_S41B,67.7,2.50E-62,236.9,OFW07445.1,88,1.20E-83,318.9,OFW07445.1 protease ,Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36
H1_Bulk_29_scaffold_21997_1,MER0962725_S01C,65.6,2.30E-120,430.6,OJW21487.1,63.5,1.40E-120,442.6,OJW21487.1 serine protease ,Planctomycetales bacterium 71-10
H1_Bulk_29_scaffold_22_5,MER0023494_S08A,32,3.50E-24,111.7,AEE49241.1,45.5,1.30E-109,406.8,AEE49241.1 peptidase S8 and S53 subtilisin kexin sedolisin ,Haliscomenobacter hydrossis DSM 1100
H1_Bulk_29_scaffold_22208_2,MER0465229_M01,61.5,5.90E-31,131.7,OQY93730.1,69.5,4.30E-32,146.7,OQY93730.1 peptidase M1 ,Sphingobacteriales bacterium UTBCD1
H1_Bulk_29_scaffold_2226_2,MER0081182_S01E,88.1,4.40E-29,125.9,OJZ62744.1,60.2,1.20E-24,122.5,OJZ62744.1 peptidase ,Mycolicibacterium diernhoferi
H1_Bulk_29_scaffold_22351_1,MER0948440_S11,45.8,8.80E-11,64.7,WP_073386242.1,69.4,1.50E-24,121.7,WP_073386242.1 D-alanyl-D-alanine carboxypeptidase ,Jatrophihabitans endophyticus
H1_Bulk_29_scaffold_22802_2,MER0993977_S09A,51.9,4.60E-36,149.4,OLC73000.1,60.5,2.30E-38,168.3,OLC73000.1 peptidase S9 ,Deltaproteobacteria bacterium 13_1_40CM_4_68_19
H1_Bulk_29_scaffold_23229_2,MER0034443_C56,36.6,7.90E-30,129,PYR90805.1,79.9,1.60E-81,312,PYR90805.1 protease ,Acidobacteria bacterium
H1_Bulk_29_scaffold_23535_1,MER0188174_M57,56,2.30E-69,260.8,WP_120553344.1,62,1.90E-77,298.9,WP_120553344.1 protease ,Corallococcus sp. AB050A
H1_Bulk_29_scaffold_23645_1,MER0235497_M20X,26.2,1.40E-24,112.5,ACL58565.1,67.7,6.80E-136,493.4,ACL58565.1 peptidase M20 ,Methylobacterium nodulans ORS 2060
H1_Bulk_29_scaffold_24021_1,MER0062937_S08A,34.9,6.20E-27,120.2,ABL74967.1,51.8,2.20E-91,345.5,ABL74967.1 cysteine protease ,Acanthamoeba castellanii
H1_Bulk_29_scaffold_24052_1,MER0283167_S41A,59.7,5.30E-106,382.9,WP_044426264.1,91,1.30E-163,585.5,WP_044426264.1 S41 family peptidase ,Skermanella aerolata
H1_Bulk_29_scaffold_25242_1,MER0035430_S01C,33.7,6.80E-29,126.7,WP_020468386.1,46.6,4.00E-56,228.4,WP_020468386.1 serine protease ,Zavarzinella formosa
H1_Bulk_29_scaffold_2529_1,MER0222684_M04,66.7,2.70E-234,810.1,WP_084557417.1,98.4,0,1281.9,WP_084557417.1 M4 family peptidase ,Hamadaea tsunoensis
H1_Bulk_29_scaffold_25530_1,MER0296331_M48B,38.4,7.00E-38,156.4,AFU59476.1,68.2,1.60E-109,405.6,AFU59476.1 putative protease htpX ,Candidatus Nitrososphaera gargensis Ga9.2
H1_Bulk_29_scaffold_25793_1,MER0086266_M06,66.2,1.70E-136,484.2,WP_033360547.1,77.9,1.70E-155,558.5,WP_033360547.1 M6 family metalloprotease domain-containing protein ,Dactylosporangium aurantiacum
H1_Bulk_29_scaffold_26142_1,MER0126565_S26A,34.1,1.10E-21,102.4,WP_037015992.1,85.2,6.80E-131,476.5,WP_037015992.1 signal peptidase I ,Rhizobiales bacterium YIM 77505
H1_Bulk_29_scaffold_26340_2,MER0296331_M48B,36.3,8.80E-36,149.4,WP_028059199.1,75.8,1.10E-105,392.9,WP_028059199.1 zinc metalloprotease HtpX ,Solirubrobacter sp. URHD0082
H1_Bulk_29_scaffold_26346_1,MER0461536_C82B,70.8,8.30E-65,245.4,SDS89663.1,71.5,7.00E-62,246.9,SDS89663.1 Lipoprotein-anchoring transpeptidase ErfK/SrfK ,Bradyrhizobium canariense
H1_Bulk_29_scaffold_26444_1,MER0091734_S26A,34,2.90E-22,104.4,WP_020720236.1,70.8,3.00E-102,381.3,WP_020720236.1 signal peptidase I ,Acidobacteriaceae bacterium KBS 96
H1_Bulk_29_scaffold_26846_1,MER0178978_M04,49.8,5.00E-61,233.4,WP_091287161.1,74,2.10E-142,515,WP_091287161.1 M4 family peptidase ,Amycolatopsis xylanica
H1_Bulk_29_scaffold_26890_1,MER0284661_S53,69.5,7.90E-42,168.7,WP_101950655.1,55.9,1.40E-52,215.7,WP_101950655.1 peptidase S53 ,Mycobacterium sp. 3519A
H1_Bulk_29_scaffold_2894_2,MER0926397_M16A,64.6,1.00E-148,525,OLB74791.1,82.1,1.70E-194,688.3,OLB74791.1 peptidase M16 ,Alphaproteobacteria bacterium 13_2_20CM_2_64_7
H1_Bulk_29_scaffold_2952_1,MER0386429_S46,57.6,7.10E-227,785.4,OLD45559.1,63.4,3.40E-248,867.5,OLD45559.1 serine protease ,Chloroflexi bacterium 13_1_40CM_2_68_14
H1_Bulk_29_scaffold_3088_1,MER0497521_M06,65.9,6.90E-259,891.7,WP_052386584.1,92.3,0,1286.2,WP_052386584.1 peptidase M6 immune inhibitor A ,Dactylosporangium aurantiacum
H1_Bulk_29_scaffold_3143_1,MER0942178_S10,62.9,1.70E-48,190.7,WP_043289063.1,71.4,1.50E-50,208.8,WP_043289063.1 peptidase S1 ,Paraburkholderia oxyphila
H1_Bulk_29_scaffold_3146_2,MER0027581_S41A,71.8,2.30E-173,607.1,WP_079569868.1,78.8,1.50E-191,678.7,WP_079569868.1 S41 family peptidase ,Bradyrhizobium erythrophlei
H1_Bulk_29_scaffold_3172_2,MER1015132_S14,29.9,8.20E-09,59.3,WP_046863336.1,92.3,5.40E-104,386.7,WP_046863336.1 ATP-dependent Clp protease proteolytic subunit ,Microvirga massiliensis
H1_Bulk_29_scaffold_3301_1,MER0138766_M41,59.9,5.00E-195,679.5,REJ79940.1,75.2,1.00E-259,905.6,REJ79940.1 ATP-dependent zinc metalloprotease FtsH ,Acidobacteria bacterium
H1_Bulk_29_scaffold_4381_1,MER0100619_M41,73.3,4.10E-255,879,WP_112663851.1,95.1,0,1120.9,WP_112663851.1 ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein ,Microvirga sp. c27j1
H1_Bulk_29_scaffold_4622_1,MER0407412_S01C,54,3.40E-138,490.3,OLB72848.1,71.5,1.60E-189,672.2,OLB72848.1 serine peptidase ,Alphaproteobacteria bacterium 13_2_20CM_2_64_7
H1_Bulk_29_scaffold_4743_1,MER0300856_M41,65.4,1.40E-180,631.3,WP_059438865.1,69.6,8.60E-221,776.2,WP_059438865.1 ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein ,Anaeromyxobacter sp. PSR-1
H1_Bulk_29_scaffold_48_3,MER0088776_M24A,48,3.70E-64,243.4,PYR90311.1,94.4,2.20E-128,468,PYR90311.1 type I methionyl aminopeptidase ,Acidobacteria bacterium
H1_Bulk_29_scaffold_4871_2,MER0178978_M04,41.8,7.60E-66,250,WP_091287161.1,66,4.30E-176,627.5,WP_091287161.1 M4 family peptidase ,Amycolatopsis xylanica
H1_Bulk_29_scaffold_54080_1,MER0488851_S09A,51.8,3.10E-71,266.9,PYR93848.1,87,1.80E-122,448.4,PYR93848.1 oligopeptidase B ,Acidobacteria bacterium
H1_Bulk_29_scaffold_5511_1,MER0307081_S41A,78.8,2.60E-198,689.9,OJY44337.1,83.9,2.70E-209,737.6,OJY44337.1 peptidase S41 ,Rhizobiales bacterium 64-17
H1_Bulk_29_scaffold_5556_1,MER0222399_S08A,66.9,4.50E-211,732.6,WP_033361240.1,88.9,8.10E-288,998.8,WP_033361240.1 serine protease ,Dactylosporangium aurantiacum
H1_Bulk_29_scaffold_5606_1,MER0307081_S41A,78.5,9.00E-199,691.4,WP_068030465.1,92.3,9.70E-228,798.9,WP_068030465.1 S41 family peptidase ,Rhodoplanes sp. Z2-YC6860
H1_Bulk_29_scaffold_5609_2,MER0096899_S14,33.1,2.20E-14,77.8,WP_056923604.1,85,3.80E-94,354,WP_056923604.1 MULTISPECIES: ATP-dependent Clp protease proteolytic subunit ,Phycicoccus
H1_Bulk_29_scaffold_5751_1,MER0501105_C01A,36.6,2.30E-46,185.3,WP_014216539.1,46.2,8.30E-87,330.9,WP_014216539.1 peptidase C1 ,Niastella koreensis
H1_Bulk_29_scaffold_5895_1,MER0117120_S41A,79.5,5.00E-202,702.2,WP_037020046.1,88.8,4.30E-220,773.5,WP_037020046.1 S41 family peptidase ,Rhizobiales bacterium YIM 77505
H1_Bulk_29_scaffold_6265_1,MER0222684_M04,70.7,2.10E-194,677.2,WP_033363699.1,72.9,1.90E-209,738.4,WP_033363699.1 peptidase M4 ,Dactylosporangium aurantiacum
H1_Bulk_29_scaffold_6295_1,MER0220601_M04,69.1,7.10E-198,688.7,WP_027346267.1,70.6,7.00E-204,719.9,WP_027346267.1 zinc metalloprotease ,Hamadaea tsunoensis
H1_Bulk_29_scaffold_65294_2,MER0489411_S09C,37.6,1.90E-45,181.4,RLC83306.1,49.3,8.60E-65,256.9,"RLC83306.1 S9 family peptidase, partial ",Chloroflexi bacterium
H1_Bulk_29_scaffold_6609_1,MER0063329_M01,30.2,3.10E-49,194.9,ALI37409.1,38.4,3.50E-88,335.5,ALI37409.1 Aminopeptidase N ,Candidatus Nitrosocosmicus oleophilus
H1_Bulk_29_scaffold_6636_1,MER0324238_M43B,46.1,3.40E-66,250.8,WP_048117299.1,51.3,1.20E-82,316.6,WP_048117299.1 zinc metalloprotease ,Methanosarcina vacuolata
H1_Bulk_29_scaffold_66977_1,MER0426820_A24A,39.8,0.00047,43.1,PYQ96847.1,51.2,1.70E-28,135.6,PYQ96847.1 prepilin peptidase ,Acidobacteria bacterium
H1_Bulk_29_scaffold_6911_2,MER0833115_M14A,27.6,8.10E-25,113.6,PYS35050.1,53.3,1.90E-141,512.3,PYS35050.1 peptidase M14 ,Acidobacteria bacterium
H1_Bulk_29_scaffold_7002_1,MER1017926_S14,32.3,1.80E-09,61.2,OLB79583.1,97.8,2.60E-91,344.4,OLB79583.1 ATP-dependent Clp protease proteolytic subunit ,Alphaproteobacteria bacterium 13_2_20CM_2_64_7
